name,sku,itemType,unit,categoryId,supplierId,warningLevel,criticalLevel,serialNumber,acquisitionDate,condition,initialQty,batchNo,expiryDate
Oral Airway Size 4,CON-ORAL-AIRWAY-S4,MEDICAL_CONSUMABLE,pcs,cat-consumable,,10,5,,,GOOD,0,,
Oxygen Mask with Tube,CON-OXYGEN-MASK-TUBE,MEDICAL_CONSUMABLE,pcs,cat-consumable,,10,5,,,GOOD,0,,
Oxygen Nasal Cannula,CON-OXYGEN-CANNULA,MEDICAL_CONSUMABLE,pcs,cat-consumable,,10,5,,,GOOD,0,,
Oxygen Non-rebreather Mask,CON-OXYGEN-NR-MASK,MEDICAL_CONSUMABLE,pcs,cat-consumable,,10,5,,,GOOD,0,,
Pantoprazole (Mac-Panto),MED-PANTOPRAZOLE-MAC,MEDICATION,vial,cat-med-injectable,,10,5,,,GOOD,0,,
Pantoprazole (Pantokem) 40mg,MED-PANTOPRAZOLE-PK-40,MEDICATION,vial,cat-med-injectable,,10,5,,,GOOD,0,,
Paracetamol (Acelife) 150mg/ml,MED-PARACETAMOL-ACE-150,MEDICATION,ampule,cat-med-injectable,,10,5,,,GOOD,0,,
Paracetamol (Amadol) 300mg,MED-PARACETAMOL-AMD-300,MEDICATION,ampule,cat-med-injectable,,10,5,,,GOOD,0,,
Paracetamol (Amcetam) 300mg,MED-PARACETAMOL-AMC-300,MEDICATION,ampule,cat-med-injectable,,10,5,,,GOOD,0,,
Paracetamol (Angesic) 300mg,MED-PARACETAMOL-ANG-300,MEDICATION,ampule,cat-med-injectable,,10,5,,,GOOD,0,,
Paracetamol (Biogesic) 500mg,MED-PARACETAMOL-BIO-500,MEDICATION,tab,cat-med-oral,,10,5,,,GOOD,0,,
Paracetamol (Feverbles) 300mg,MED-PARACETAMOL-FEV-300,MEDICATION,ampule,cat-med-injectable,,10,5,,,GOOD,0,,
Paracetamol (Myremol) 500mg,MED-PARACETAMOL-MYR-500,MEDICATION,tab,cat-med-oral,,10,5,,,GOOD,0,,
Paracetamol (Nanalgesic) 300mg/ml,MED-PARACETAMOL-NAN-300,MEDICATION,ampule,cat-med-injectable,,10,5,,,GOOD,0,,
Paracetamol (Naprex) 150mg/2ml,MED-PARACETAMOL-NPR-150,MEDICATION,ampule,cat-med-injectable,,10,5,,,GOOD,0,,
Paracetamol (Partemp) 300mg/ml,MED-PARACETAMOL-PRT-300,MEDICATION,ampule,cat-med-injectable,,10,5,,,GOOD,0,,
Paracetamol (Porfever) 150mg/1ml,MED-PARACETAMOL-POR-150,MEDICATION,ampule,cat-med-injectable,,10,5,,,GOOD,0,,
Paracetamol 300mg Ampule,MED-PARACETAMOL-300A,MEDICATION,ampule,cat-med-injectable,,10,5,,,GOOD,0,,
Phenobarbital (Phenobar) 60mg,MED-PHENOBARBITAL-60,MEDICATION,tab,cat-med-oral,,10,5,,,GOOD,0,,
Plain NSS (Euro Pacific) 1000ml,CON-PLAIN-NSS-EURO-1L,MEDICAL_CONSUMABLE,bottle,cat-consumable,,10,5,,,GOOD,0,,
Plain NSS 100ml,CON-PLAIN-NSS-100,MEDICAL_CONSUMABLE,bottle,cat-consumable,,10,5,,,GOOD,0,,
Plain NSS 50ml,CON-PLAIN-NSS-50,MEDICAL_CONSUMABLE,bottle,cat-consumable,,10,5,,,GOOD,0,,
Pneumo 23 Vaccine,MED-PNEUMO-23-VACC,MEDICATION,vial,cat-med-injectable,,10,5,,,GOOD,0,,
Pneumococcal Vaccine (Prev 13),MED-PNEUMO-PREV-13,MEDICATION,vial,cat-med-injectable,,10,5,,,GOOD,0,,
Potassium Chloride (Euromed) 2mEq/ml 5ml,MED-POTASSIUM-EURO-2-5,MEDICATION,vial,cat-med-injectable,,10,5,,,GOOD,0,,
Potassium Chloride (Euromed) 40mEq,MED-POTASSIUM-EURO-40,MEDICATION,vial,cat-med-injectable,,10,5,,,GOOD,0,,
Potassium Chloride (Generic) 2mg/20ml,MED-POTASSIUM-GEN-2-20,MEDICATION,vial,cat-med-injectable,,10,5,,,GOOD,0,,
Potassium Chloride 2mg,MED-POTASSIUM-2-VIAL,MEDICATION,vial,cat-med-injectable,,10,5,,,GOOD,0,,
Potassium Chloride Polyamp 10ml/20ml,MED-POTASSIUM-POLY-10-20,MEDICATION,ampule,cat-med-injectable,,10,5,,,GOOD,0,,
Ranitidine (Ranitein) 150mg,MED-RANITIDINE-RAN-150,MEDICATION,tab,cat-med-oral,,10,5,,,GOOD,0,,
Recormon 5000,MED-RECORMON-5000,MEDICATION,vial,cat-med-injectable,,10,5,,,GOOD,0,,
Salbutamol (Hivent) 1mg/ml,MED-SALBUTAMOL-HIV-1,MEDICATION,nebule,cat-med-injectable,,10,5,,,GOOD,0,,
Salbutamol (Ventolin),MED-SALBUTAMOL-VTN,MEDICATION,nebule,cat-med-injectable,,10,5,,,GOOD,0,,
Salbutamol + Ipratropium (Duavent),MED-SALBUTAMOL-IPRA-DUA,MEDICATION,nebule,cat-med-injectable,,10,5,,,GOOD,0,,
Salbutamol + Ipratropium (Hivent Plus),MED-SALBUTAMOL-IPRA-HIV,MEDICATION,nebule,cat-med-injectable,,10,5,,,GOOD,0,,
Salbutamol + Ipratropium (Multivent) 2.5mg/500mcg,MED-SALBUTAMOL-IPRA-MUL,MEDICATION,nebule,cat-med-injectable,,10,5,,,GOOD,0,,
Salbutamol + Ipratropium (Relaxsaph),MED-SALBUTAMOL-IPRA-RLX,MEDICATION,nebule,cat-med-injectable,,10,5,,,GOOD,0,,
Salbutamol + Ipratropium (Sapilum),MED-SALBUTAMOL-IPRA-SAP,MEDICATION,nebule,cat-med-injectable,,10,5,,,GOOD,0,,
Salbutamol + Ipratropium (Ventolin),MED-SALBUTAMOL-IPRA-VTN,MEDICATION,nebule,cat-med-injectable,,10,5,,,GOOD,0,,
Sevelamer (Sefos) 800mg,MED-SEVELAMER-SEF-800,MEDICATION,tab,cat-med-oral,,10,5,,,GOOD,0,,
Sodium Bicarbonate (Sodulane) 20ml,MED-SODIUM-BIC-SOD-20,MEDICATION,ampule,cat-med-injectable,,10,5,,,GOOD,0,,
Sodium Bicarbonate (Solunate) 20ml,MED-SODIUM-BIC-SOL-20,MEDICATION,ampule,cat-med-injectable,,10,5,,,GOOD,0,,
Solu Set,CON-SOLU-SET,MEDICAL_CONSUMABLE,pcs,cat-consumable,,10,5,,,GOOD,0,,
Soluset,CON-SOLU-SET-INV,MEDICAL_CONSUMABLE,pcs,cat-consumable,,10,5,,,GOOD,0,,
Sterile Gloves,PPE-STERILE-GLOVES,PPE,pair,cat-ppe-gloves,,10,5,,,GOOD,0,,
Suction Catheter F10,CON-SUCTION-CATH-F10,MEDICAL_CONSUMABLE,pcs,cat-consumable,,10,5,,,GOOD,0,,
Suction Catheter F14,CON-SUCTION-CATH-F14,MEDICAL_CONSUMABLE,pcs,cat-consumable,,10,5,,,GOOD,0,,
Suction Tube,CON-SUCTION-TUBE,MEDICAL_CONSUMABLE,pcs,cat-consumable,,10,5,,,GOOD,0,,
Suture - Silk 3/0 Round,CON-SUTURE-SILK-30,MEDICAL_CONSUMABLE,pcs,cat-consumable-wound,,10,5,,,GOOD,0,,
Telmisartan (Mistel) 40mg,MED-TELMISARTAN-MIS-40,MEDICATION,tab,cat-med-oral,,10,5,,,GOOD,0,,
Telmisartan (Mistel) 80mg,MED-TELMISARTAN-MIS-80,MEDICATION,tab,cat-med-oral,,10,5,,,GOOD,0,,
Telmisartan (Telcor) 80mg,MED-TELMISARTAN-TLC-80,MEDICATION,tab,cat-med-oral,,10,5,,,GOOD,0,,
Terbutaline Sulfate (Bricalin),MED-TERBUTALINE-BRC,MEDICATION,ampule,cat-med-injectable,,10,5,,,GOOD,0,,
Tongue Depressor,CON-TONGUE-DEPRESSOR,MEDICAL_CONSUMABLE,pcs,cat-consumable,,10,5,,,GOOD,0,,
Tramadol (Ambidol) 50mg,MED-TRAMADOL-AMB-50,MEDICATION,ampule,cat-med-injectable,,10,5,,,GOOD,0,,
Tramadol (Opiodex) 50mg,MED-TRAMADOL-OPD-50,MEDICATION,ampule,cat-med-injectable,,10,5,,,GOOD,0,,
Tramadol (Tramal) 500mg/ml,MED-TRAMADOL-TRM-500,MEDICATION,ampule,cat-med-injectable,,10,5,,,GOOD,0,,
Tramadol (Tramal) 50mg,MED-TRAMADOL-TRM-50,MEDICATION,capsule,cat-med-oral,,10,5,,,GOOD,0,,
Tramadol (Tramide) 50mg,MED-TRAMADOL-TRD-50,MEDICATION,ampule,cat-med-injectable,,10,5,,,GOOD,0,,
Tranexamic Acid (Hemostat) 500mg,MED-TRANEXAMIC-HMS-500,MEDICATION,ampule,cat-med-injectable,,10,5,,,GOOD,0,,
Tranexamic Acid (XED) 500mg,MED-TRANEXAMIC-XED-500,MEDICATION,ampule,cat-med-injectable,,10,5,,,GOOD,0,,
Trimetazidine 35mg,MED-TRIMETAZIDINE-35,MEDICATION,tab,cat-med-oral,,10,5,,,GOOD,0,,
Vancomycin (Afreevanco) 1g,MED-VANCOMYCIN-AFR-1G,MEDICATION,vial,cat-med-injectable,,10,5,,,GOOD,0,,
Vancomycin (Eurovan) 500mg,MED-VANCOMYCIN-ERV-500,MEDICATION,vial,cat-med-injectable,,10,5,,,GOOD,0,,
Vancomycin (Nycovan) 500mg,MED-VANCOMYCIN-NYC-500,MEDICATION,vial,cat-med-injectable,,10,5,,,GOOD,0,,
Vancomycin (Vancojor) 1g,MED-VANCOMYCIN-VNJ-1G,MEDICATION,vial,cat-med-injectable,,10,5,,,GOOD,0,,
Vancomycin (Vancojor) 500mg,MED-VANCOMYCIN-VNJ-500,MEDICATION,vial,cat-med-injectable,,10,5,,,GOOD,0,,
Vancomycin (Vaxcicin) 500mg,MED-VANCOMYCIN-VXC-500,MEDICATION,vial,cat-med-injectable,,10,5,,,GOOD,0,,
